32.7032,C
34.6478,C#
36.7081,D
38.8909,D#
41.2034,E
43.6535,F
46.2493,F#
48.9994,G
51.9131,G#
55,A
58.2705,A#
61.7354,B
65.4064,C2
69.2957,C#2
73.4162,D2
77.7817,D#2
82.4069,E2
87.3071,F2
92.4986,F#2
97.9989,G2
103.8262,G#2
110,A2
116.5409,A#2
123.4708,B2
130.8128,C3
138.5913,C#3
146.8324,D3
155.5635,D#3
164.8138,E3
174.6141,F3
184.9972,F#3
195.9977,G3
207.6523,G#3
220,A3
233.0819,A#3
246.9417,B3
261.6256,C4
277.1826,C#4
293.6648,D4
311.127,D#4
329.6276,E4
349.2282,F4
369.9944,F#4
